Date,Description,Category,Amount,Payment_Mode,Location
2025-06-06,Cafe,Food,646.37,Debit Card,Chennai
2026-02-24,Mall,Shopping,1490.12,Debit Card,Kolkata
2025-09-14,Swiggy,Food,394.08,Debit Card,Kolkata
2026-01-25,Netflix,Entertainment,2556.96,UPI,Delhi
2025-11-22,Amazon,Shopping,1348.81,UPI,Kolkata
2026-02-10,Netflix,Entertainment,4077.58,Debit Card,Pune
2025-04-14,Mall,Shopping,456.96,Credit Card,Chennai
2026-01-24,Metro,Travel,4385.55,Credit Card,Delhi
2025-08-17,Movie Ticket,Entertainment,3256.82,Credit Card,Mumbai
2026-02-03,Internet Bill,Bills,2644.98,Cash,Delhi
2025-05-13,Uber,Travel,997.25,UPI,Kolkata
2026-02-06,Uber,Travel,740.34,Credit Card,Pune
2025-11-29,Internet Bill,Bills,4398.95,Credit Card,Bangalore
2026-02-07,Amazon,Shopping,4885.28,Cash,Delhi
2026-03-08,Mobile Recharge,Bills,918.09,UPI,Chennai
2025-11-29,Restaurant,Food,2385.91,Cash,Kolkata
2025-11-25,Ola,Travel,1731.32,Debit Card,Delhi
2026-02-06,Swiggy,Food,4054.13,UPI,Pune
2025-03-21,Mall,Shopping,3730.05,Debit Card,Kolkata
2025-09-08,Internet Bill,Bills,3064.33,UPI,Pune
2025-12-30,Amazon,Shopping,3486.77,Cash,Hyderabad
2026-01-07,Flipkart,Shopping,4839.91,Cash,Chennai
2025-08-02,Electricity Bill,Bills,2444.96,UPI,Hyderabad
2026-01-28,Spotify,Entertainment,2754.66,UPI,Bangalore
2025-04-19,Amazon,Shopping,2195.7,Credit Card,Hyderabad
2025-12-30,Swiggy,Food,752.7,Debit Card,Kolkata
2025-12-28,Cafe,Food,3583.31,Credit Card,Delhi
2025-07-30,Uber,Travel,2930.64,UPI,Chennai
2025-10-16,Mall,Shopping,4783.39,Debit Card,Chennai
2025-05-30,Cafe,Food,2965.07,Debit Card,Pune
2025-04-11,Mobile Recharge,Bills,1715.82,Debit Card,Hyderabad
2025-03-14,Amazon,Shopping,60.77,Debit Card,Pune
2025-08-04,Metro,Travel,3482.24,UPI,Hyderabad
2025-07-20,Restaurant,Food,1036.9,Credit Card,Delhi
2025-06-26,Netflix,Entertainment,3909.27,Cash,Hyderabad
2025-08-24,Netflix,Entertainment,392.48,Debit Card,Hyderabad
2025-07-24,Flight,Travel,4519.95,Debit Card,Chennai
2025-08-12,Netflix,Entertainment,3753.63,Cash,Hyderabad
2025-10-10,Internet Bill,Bills,3299.31,Cash,Pune
2025-06-18,Mall,Shopping,2607.85,Cash,Kolkata
2025-07-29,Flipkart,Shopping,65.63,UPI,Mumbai
2026-02-24,Swiggy,Food,3779.52,UPI,Delhi
2025-04-07,Movie Ticket,Entertainment,4139.21,Debit Card,Pune
2025-08-12,Uber,Travel,4039.75,Credit Card,Kolkata
2025-09-15,Ola,Travel,2353.19,UPI,Chennai
2025-09-19,Mall,Shopping,1545.65,Debit Card,Chennai
2025-03-24,Mall,Shopping,2955.03,UPI,Pune
2025-05-09,Spotify,Entertainment,2726.32,UPI,Pune
2025-08-21,Movie Ticket,Entertainment,290.02,Cash,Bangalore
2026-01-12,Netflix,Entertainment,3120.64,Cash,Mumbai
2025-07-16,Mobile Recharge,Bills,4231.3,Credit Card,Hyderabad
2025-06-30,Internet Bill,Bills,3178.55,Credit Card,Kolkata
2026-01-06,Mall,Shopping,4924.38,UPI,Delhi
2025-07-03,Ola,Travel,1316.68,Cash,Bangalore
2026-02-16,Flipkart,Shopping,4872.6,Debit Card,Mumbai
2025-12-31,Movie Ticket,Entertainment,1265.0,Debit Card,Kolkata
2025-07-28,Cafe,Food,3041.91,Debit Card,Delhi
2025-08-30,Zomato,Food,1746.56,UPI,Hyderabad
2025-08-21,Metro,Travel,1854.39,Credit Card,Hyderabad
2026-01-25,Electricity Bill,Bills,2087.03,Debit Card,Hyderabad
2025-03-17,Mall,Shopping,3902.17,Credit Card,Pune
2025-03-24,Zomato,Food,809.44,Debit Card,Bangalore
2025-07-09,Cafe,Food,1818.52,Credit Card,Bangalore
2025-04-26,Zomato,Food,360.33,UPI,Bangalore
2026-02-09,Spotify,Entertainment,1247.04,Credit Card,Delhi
2025-06-19,Internet Bill,Bills,1693.58,Debit Card,Chennai
2026-01-12,Movie Ticket,Entertainment,3775.85,Debit Card,Hyderabad
2025-07-05,Restaurant,Food,3595.74,Credit Card,Bangalore
2025-04-25,Uber,Travel,1975.16,Credit Card,Delhi
2026-03-09,Zomato,Food,361.1,Credit Card,Hyderabad
2026-01-30,Spotify,Entertainment,2519.15,Debit Card,Chennai
2025-11-16,Amazon,Shopping,1188.97,Cash,Hyderabad
2025-03-30,Amazon,Shopping,3021.53,Cash,Hyderabad
2025-05-09,Zomato,Food,1860.85,Cash,Pune
2025-08-31,Internet Bill,Bills,1801.37,Debit Card,Kolkata
2026-02-07,Amazon,Shopping,2357.56,Credit Card,Mumbai
2025-11-11,Electricity Bill,Bills,3698.16,UPI,Kolkata
2026-01-16,Restaurant,Food,4670.63,Debit Card,Hyderabad
2026-02-28,Movie Ticket,Entertainment,2826.89,Debit Card,Bangalore
2025-05-18,Amazon,Shopping,647.99,Debit Card,Hyderabad
2025-11-01,Internet Bill,Bills,2337.91,Cash,Mumbai
2025-10-12,Netflix,Entertainment,4976.73,Cash,Chennai
2025-04-18,Movie Ticket,Entertainment,3636.92,Credit Card,Chennai
2026-02-04,Cafe,Food,2600.46,Debit Card,Hyderabad
2025-11-06,Swiggy,Food,377.06,Credit Card,Chennai
2025-12-09,Internet Bill,Bills,4113.41,UPI,Delhi
2025-03-27,Mobile Recharge,Bills,593.9,Cash,Hyderabad
2025-12-18,Mall,Shopping,665.39,UPI,Chennai
2025-12-31,Flight,Travel,165.86,Credit Card,Kolkata
2026-03-02,Movie Ticket,Entertainment,4014.29,Cash,Delhi
2025-07-01,Flight,Travel,2985.87,Cash,Kolkata
2025-11-22,Netflix,Entertainment,2824.25,Debit Card,Kolkata
2025-12-20,Restaurant,Food,322.93,UPI,Hyderabad
2025-09-22,Flight,Travel,952.0,UPI,Chennai
2025-11-29,Movie Ticket,Entertainment,3342.77,Credit Card,Bangalore
2025-10-17,Restaurant,Food,4198.09,UPI,Bangalore
2025-06-25,Amazon,Shopping,1674.52,UPI,Delhi
2026-02-07,Electricity Bill,Bills,2066.37,Credit Card,Bangalore
2025-06-07,Netflix,Entertainment,4936.1,Credit Card,Hyderabad
2025-05-26,Swiggy,Food,4923.41,Debit Card,Mumbai
2025-12-21,Ola,Travel,4269.8,UPI,Delhi
2025-09-07,Spotify,Entertainment,4504.3,Credit Card,Mumbai
2025-08-23,Ola,Travel,2996.43,Debit Card,Bangalore
2025-04-11,Internet Bill,Bills,3416.48,UPI,Bangalore
2025-12-24,Metro,Travel,3186.54,Credit Card,Hyderabad
2025-09-09,Movie Ticket,Entertainment,2917.27,UPI,Pune
2025-06-14,Flipkart,Shopping,2873.65,Cash,Kolkata
2026-03-08,Zomato,Food,2500.94,Credit Card,Kolkata
2025-12-15,Internet Bill,Bills,198.67,UPI,Bangalore
2026-01-06,Restaurant,Food,379.19,Credit Card,Kolkata
2025-05-08,Spotify,Entertainment,423.29,UPI,Kolkata
2025-06-03,Flight,Travel,2889.54,Credit Card,Pune
2025-03-22,Netflix,Entertainment,990.24,Credit Card,Pune
2025-10-06,Metro,Travel,1967.98,UPI,Hyderabad
2025-06-28,Swiggy,Food,3664.78,Cash,Kolkata
2025-12-11,Electricity Bill,Bills,465.56,Cash,Chennai
2025-05-29,Flipkart,Shopping,4030.0,UPI,Pune
2025-11-22,Electricity Bill,Bills,118.02,Cash,Delhi
2025-08-30,Flight,Travel,4509.21,Debit Card,Pune
2025-04-13,Spotify,Entertainment,2008.4,Debit Card,Chennai
2025-09-02,Metro,Travel,3149.89,Cash,Kolkata
2026-02-13,Zomato,Food,3257.37,Cash,Hyderabad
2025-12-13,Metro,Travel,4588.62,Credit Card,Mumbai
2025-12-03,Netflix,Entertainment,482.22,Credit Card,Chennai
2026-02-21,Mobile Recharge,Bills,4863.68,UPI,Chennai
2026-02-23,Flipkart,Shopping,811.8,Credit Card,Bangalore
2025-12-27,Cafe,Food,1991.34,Credit Card,Pune
2025-12-16,Cafe,Food,3845.15,Cash,Bangalore
2025-05-28,Electricity Bill,Bills,4079.7,Credit Card,Hyderabad
2025-06-15,Flight,Travel,1152.74,UPI,Mumbai
2025-03-21,Spotify,Entertainment,3855.72,Debit Card,Bangalore
2025-09-26,Uber,Travel,4888.75,Credit Card,Pune
2025-08-16,Movie Ticket,Entertainment,386.41,Credit Card,Chennai
2025-05-08,Restaurant,Food,4288.32,Debit Card,Kolkata
2026-01-16,Internet Bill,Bills,3891.79,Cash,Pune
2025-11-20,Netflix,Entertainment,3166.66,Credit Card,Delhi
2025-05-27,Swiggy,Food,4681.54,Debit Card,Pune
2025-10-03,Amazon,Shopping,4150.63,Debit Card,Bangalore
2025-10-21,Flipkart,Shopping,4991.72,UPI,Kolkata
2025-09-06,Ola,Travel,2504.63,Debit Card,Delhi
2025-04-02,Mobile Recharge,Bills,383.53,Credit Card,Kolkata
2025-08-30,Netflix,Entertainment,1115.09,UPI,Kolkata
2025-05-25,Amazon,Shopping,3129.05,Debit Card,Bangalore
2025-11-10,Ola,Travel,2086.9,Cash,Delhi
2025-08-05,Restaurant,Food,2821.01,Debit Card,Delhi
2025-03-09,Swiggy,Food,638.63,Credit Card,Kolkata
2025-03-27,Restaurant,Food,1250.72,Cash,Chennai
2025-08-01,Movie Ticket,Entertainment,3222.41,Cash,Delhi
2025-12-06,Zomato,Food,424.12,Credit Card,Chennai
2025-06-15,Movie Ticket,Entertainment,63.19,Cash,Chennai
2025-08-12,Flight,Travel,288.44,Cash,Hyderabad
2026-03-07,Flipkart,Shopping,4630.66,UPI,Pune
2025-10-04,Electricity Bill,Bills,901.93,UPI,Hyderabad
2025-10-19,Internet Bill,Bills,1870.26,UPI,Delhi
2025-04-29,Mobile Recharge,Bills,1148.93,Cash,Mumbai
2025-10-30,Cafe,Food,3593.14,UPI,Delhi
2025-11-27,Netflix,Entertainment,1003.2,Credit Card,Kolkata
2025-05-16,Mall,Shopping,673.77,Credit Card,Kolkata
2025-10-12,Ola,Travel,992.45,UPI,Hyderabad
2025-10-21,Flipkart,Shopping,1509.3,Credit Card,Bangalore
2025-06-26,Restaurant,Food,114.39,Cash,Pune
2025-06-12,Amazon,Shopping,1815.63,Credit Card,Chennai
2025-11-19,Amazon,Shopping,1193.37,Cash,Chennai
2025-03-27,Restaurant,Food,1026.47,Cash,Delhi
2025-07-06,Swiggy,Food,1790.04,Debit Card,Chennai
2025-05-01,Movie Ticket,Entertainment,3911.38,UPI,Pune
2025-06-27,Spotify,Entertainment,4039.93,Credit Card,Pune
2025-10-31,Movie Ticket,Entertainment,2626.96,UPI,Chennai
2025-08-13,Mall,Shopping,2241.67,Cash,Chennai
2025-05-03,Movie Ticket,Entertainment,820.6,Cash,Kolkata
2025-11-22,Flipkart,Shopping,3934.45,Debit Card,Kolkata
2025-07-01,Mall,Shopping,1955.44,Cash,Delhi
2026-01-10,Movie Ticket,Entertainment,1723.29,Cash,Kolkata
2025-08-17,Netflix,Entertainment,855.82,Cash,Chennai
2025-04-06,Amazon,Shopping,3802.46,Cash,Kolkata
2025-04-01,Zomato,Food,3979.79,Cash,Hyderabad
2025-11-26,Cafe,Food,4897.51,UPI,Delhi
2025-06-27,Flight,Travel,731.87,Credit Card,Bangalore
2025-10-15,Restaurant,Food,4499.65,Cash,Kolkata
2025-12-22,Flipkart,Shopping,1530.13,Cash,Delhi
2025-07-06,Cafe,Food,4260.04,Debit Card,Kolkata
2025-04-25,Cafe,Food,58.73,Cash,Mumbai
2026-02-26,Cafe,Food,4115.64,Credit Card,Delhi
2025-10-09,Movie Ticket,Entertainment,3852.08,UPI,Chennai
2025-09-01,Electricity Bill,Bills,2760.61,Cash,Kolkata
2025-09-28,Mall,Shopping,4230.27,UPI,Chennai
2025-09-09,Swiggy,Food,1754.41,Debit Card,Kolkata
2026-01-08,Movie Ticket,Entertainment,2053.43,Cash,Chennai
2025-08-23,Zomato,Food,2414.93,Credit Card,Hyderabad
2025-11-23,Ola,Travel,2226.34,Cash,Hyderabad
2025-09-10,Internet Bill,Bills,4534.23,Cash,Chennai
2025-03-28,Amazon,Shopping,3319.8,Cash,Pune
2026-02-24,Internet Bill,Bills,3081.84,Credit Card,Kolkata
2025-10-01,Internet Bill,Bills,3233.79,Credit Card,Hyderabad
2025-12-26,Amazon,Shopping,497.73,Cash,Hyderabad
2025-08-10,Mall,Shopping,3122.3,Cash,Bangalore
2026-02-20,Spotify,Entertainment,3604.29,Credit Card,Mumbai
2025-06-05,Flight,Travel,2102.74,Cash,Bangalore
2025-06-16,Movie Ticket,Entertainment,697.21,Cash,Mumbai
2025-09-04,Spotify,Entertainment,370.05,UPI,Delhi
2025-06-29,Mall,Shopping,279.95,UPI,Chennai
2025-08-01,Netflix,Entertainment,4675.55,Credit Card,Pune
2026-03-03,Electricity Bill,Bills,4576.07,Cash,Mumbai
2025-08-27,Spotify,Entertainment,2783.83,Debit Card,Kolkata
2025-06-16,Restaurant,Food,3912.3,Debit Card,Hyderabad
2025-04-09,Flight,Travel,3869.39,Credit Card,Chennai
2025-05-02,Movie Ticket,Entertainment,4471.83,UPI,Bangalore
2025-03-12,Mall,Shopping,1385.13,Cash,Kolkata
2025-10-29,Metro,Travel,3479.06,UPI,Delhi
2025-10-08,Electricity Bill,Bills,1378.04,Debit Card,Chennai
2025-09-19,Uber,Travel,2120.52,Credit Card,Bangalore
2025-06-04,Electricity Bill,Bills,4916.77,Credit Card,Hyderabad
2026-02-03,Internet Bill,Bills,1545.19,Credit Card,Bangalore
2025-12-14,Netflix,Entertainment,2732.36,Credit Card,Chennai
2025-11-26,Mall,Shopping,2851.12,UPI,Delhi
2025-10-29,Ola,Travel,3572.75,Credit Card,Bangalore
2025-05-19,Cafe,Food,2298.18,Credit Card,Bangalore
2025-11-12,Uber,Travel,1615.22,UPI,Pune
2025-06-04,Electricity Bill,Bills,4902.17,UPI,Hyderabad
2025-05-01,Flipkart,Shopping,155.02,Cash,Chennai
2026-03-04,Internet Bill,Bills,3657.74,Cash,Kolkata
2025-08-15,Swiggy,Food,4333.1,Debit Card,Chennai
2025-04-09,Amazon,Shopping,1584.13,Debit Card,Chennai
2025-05-04,Amazon,Shopping,1196.81,Cash,Chennai
2025-08-29,Metro,Travel,2596.13,Credit Card,Pune
2025-08-19,Ola,Travel,3368.66,Credit Card,Pune
2025-08-04,Mall,Shopping,584.02,Cash,Hyderabad
2025-10-30,Restaurant,Food,2407.44,Debit Card,Chennai
2025-10-25,Amazon,Shopping,80.49,UPI,Pune
2025-08-04,Zomato,Food,1917.88,Credit Card,Chennai
2025-08-05,Mall,Shopping,2617.47,UPI,Chennai
2025-06-12,Uber,Travel,1837.75,Debit Card,Bangalore
2025-10-03,Spotify,Entertainment,1818.8,Credit Card,Mumbai
2026-01-12,Restaurant,Food,457.12,Debit Card,Delhi
2026-02-24,Ola,Travel,3957.54,Debit Card,Pune
2026-03-02,Metro,Travel,140.77,UPI,Chennai
2025-08-07,Mobile Recharge,Bills,2727.41,UPI,Pune
2026-01-29,Amazon,Shopping,1667.38,Cash,Kolkata
2025-05-20,Spotify,Entertainment,3614.75,Credit Card,Chennai
2025-05-15,Mall,Shopping,2635.35,Debit Card,Bangalore
2025-09-08,Cafe,Food,1721.21,Cash,Hyderabad
2025-11-15,Mobile Recharge,Bills,1455.0,Credit Card,Pune
2025-10-20,Netflix,Entertainment,3791.38,Cash,Hyderabad
2025-12-24,Cafe,Food,2573.21,Credit Card,Pune
2025-04-22,Cafe,Food,4175.69,Cash,Kolkata
2025-03-23,Amazon,Shopping,772.95,Credit Card,Delhi
2025-08-26,Flipkart,Shopping,2680.54,Credit Card,Bangalore
2025-04-24,Zomato,Food,3807.26,UPI,Hyderabad
2025-08-17,Metro,Travel,4680.99,Credit Card,Kolkata
2026-02-26,Mobile Recharge,Bills,850.24,Debit Card,Chennai
2026-02-11,Zomato,Food,3108.77,Cash,Chennai
2026-01-26,Movie Ticket,Entertainment,2194.52,Credit Card,Pune
2025-08-14,Amazon,Shopping,1238.2,UPI,Kolkata
2026-02-15,Movie Ticket,Entertainment,411.08,Debit Card,Bangalore
2025-11-06,Internet Bill,Bills,949.29,Debit Card,Mumbai
2025-06-09,Mobile Recharge,Bills,4471.82,Credit Card,Delhi
2026-03-02,Netflix,Entertainment,1436.24,Credit Card,Bangalore
2025-10-19,Mall,Shopping,1228.63,Credit Card,Mumbai
2026-02-08,Mall,Shopping,1281.73,Debit Card,Mumbai
2026-03-08,Netflix,Entertainment,494.33,Cash,Hyderabad
2025-08-09,Flipkart,Shopping,3379.48,UPI,Chennai
2025-05-16,Cafe,Food,2502.9,UPI,Delhi
2026-01-15,Metro,Travel,1865.93,Debit Card,Hyderabad
2025-04-30,Zomato,Food,4961.73,Debit Card,Mumbai
2025-09-01,Uber,Travel,642.79,Cash,Bangalore
2026-03-04,Internet Bill,Bills,3281.07,Credit Card,Chennai
2025-03-13,Mall,Shopping,579.2,Credit Card,Hyderabad
2025-05-30,Internet Bill,Bills,2490.4,Credit Card,Delhi
2025-08-20,Swiggy,Food,3824.0,Debit Card,Kolkata
2026-02-11,Mobile Recharge,Bills,4704.26,Debit Card,Kolkata
2025-04-16,Flight,Travel,4098.97,Credit Card,Pune
2025-08-19,Electricity Bill,Bills,793.02,UPI,Hyderabad
2025-08-14,Netflix,Entertainment,3824.9,UPI,Chennai
2025-04-13,Zomato,Food,3302.22,Cash,Pune
2025-05-10,Cafe,Food,2438.42,Credit Card,Pune
2025-06-11,Mall,Shopping,1160.48,UPI,Mumbai
2025-08-10,Flipkart,Shopping,2131.81,Credit Card,Delhi
2026-02-26,Metro,Travel,3824.92,Debit Card,Chennai
2025-12-10,Mall,Shopping,4876.03,UPI,Mumbai
2025-10-21,Restaurant,Food,3847.25,Debit Card,Delhi
2025-12-26,Amazon,Shopping,4058.36,Cash,Mumbai
2025-11-11,Spotify,Entertainment,1512.38,Credit Card,Delhi
2025-08-20,Restaurant,Food,4976.88,UPI,Chennai
2025-10-07,Restaurant,Food,4592.62,Cash,Chennai
2025-12-16,Zomato,Food,2145.6,Cash,Delhi
2025-06-07,Swiggy,Food,422.9,UPI,Bangalore
2025-06-09,Spotify,Entertainment,3023.65,Debit Card,Kolkata
2025-10-08,Ola,Travel,3735.94,UPI,Mumbai
2025-12-20,Internet Bill,Bills,4974.52,Cash,Delhi
2025-09-19,Flight,Travel,4416.68,Debit Card,Pune
2026-01-02,Flight,Travel,2350.04,Credit Card,Chennai
2025-07-29,Zomato,Food,283.17,Credit Card,Hyderabad
2025-03-17,Swiggy,Food,4066.27,Credit Card,Hyderabad
2026-02-07,Mobile Recharge,Bills,3572.38,UPI,Chennai
2025-08-04,Ola,Travel,1800.73,UPI,Mumbai
2025-12-27,Amazon,Shopping,196.0,UPI,Pune
2025-12-07,Zomato,Food,2178.42,UPI,Mumbai
2025-12-16,Cafe,Food,519.25,Cash,Pune
2025-09-29,Flight,Travel,1395.46,Cash,Delhi
2025-05-10,Uber,Travel,2865.38,Credit Card,Delhi
2025-05-20,Movie Ticket,Entertainment,1588.32,Credit Card,Kolkata
2025-10-16,Electricity Bill,Bills,682.98,Credit Card,Hyderabad
2025-03-15,Metro,Travel,3106.56,Cash,Hyderabad
2025-08-12,Flipkart,Shopping,1096.92,Debit Card,Delhi
2026-01-15,Flipkart,Shopping,594.08,Credit Card,Mumbai
2025-05-07,Zomato,Food,2672.18,UPI,Pune
2026-02-24,Spotify,Entertainment,3956.69,Cash,Hyderabad
2026-02-14,Spotify,Entertainment,2340.42,Credit Card,Delhi
2026-02-04,Electricity Bill,Bills,2882.04,Debit Card,Kolkata
2025-09-15,Mobile Recharge,Bills,616.64,Debit Card,Delhi
2025-08-21,Electricity Bill,Bills,4467.16,UPI,Delhi
2025-05-15,Spotify,Entertainment,561.11,Cash,Kolkata
2025-11-15,Mall,Shopping,1720.51,UPI,Chennai
2025-08-25,Electricity Bill,Bills,4706.14,UPI,Pune
2026-02-11,Uber,Travel,4400.88,Debit Card,Delhi
2025-12-21,Amazon,Shopping,598.91,Credit Card,Chennai
2026-01-01,Uber,Travel,1461.28,UPI,Delhi
2026-01-17,Mobile Recharge,Bills,2246.22,UPI,Pune
2025-06-26,Cafe,Food,1713.53,Debit Card,Chennai
2025-06-26,Zomato,Food,3871.2,Debit Card,Delhi
2025-06-01,Flipkart,Shopping,2966.35,Debit Card,Pune
2025-09-02,Amazon,Shopping,2993.95,Credit Card,Mumbai
2025-08-19,Spotify,Entertainment,3912.86,Credit Card,Mumbai
2025-08-16,Zomato,Food,1226.55,UPI,Mumbai
2025-09-08,Cafe,Food,1736.37,Credit Card,Mumbai
2025-05-27,Flight,Travel,3093.81,Cash,Chennai
2025-10-12,Cafe,Food,1733.94,Credit Card,Bangalore
2026-02-24,Amazon,Shopping,3810.72,Cash,Bangalore
2026-02-24,Amazon,Shopping,1666.72,Debit Card,Pune
2025-12-29,Mall,Shopping,4686.27,Cash,Delhi
2026-01-30,Internet Bill,Bills,1212.86,Cash,Bangalore
2025-04-15,Electricity Bill,Bills,2704.0,Cash,Mumbai
2026-02-08,Cafe,Food,3776.91,Credit Card,Kolkata
2025-12-04,Cafe,Food,2884.82,Cash,Pune
2025-05-26,Swiggy,Food,1946.89,Debit Card,Kolkata
2026-01-22,Internet Bill,Bills,4720.93,Debit Card,Pune
2025-08-15,Swiggy,Food,1250.76,UPI,Mumbai
2025-03-24,Netflix,Entertainment,4935.76,Credit Card,Hyderabad
2025-07-08,Movie Ticket,Entertainment,3623.89,Debit Card,Delhi
2025-05-06,Swiggy,Food,2262.62,UPI,Bangalore
2025-08-18,Swiggy,Food,2840.53,Credit Card,Bangalore
2026-01-10,Netflix,Entertainment,1581.93,Credit Card,Bangalore
2025-03-24,Netflix,Entertainment,2477.98,Debit Card,Kolkata
2025-10-05,Mall,Shopping,249.81,Cash,Bangalore
2025-06-12,Restaurant,Food,4247.13,Credit Card,Bangalore
2026-01-27,Mobile Recharge,Bills,3140.57,Debit Card,Bangalore
2025-06-05,Flight,Travel,1721.38,Cash,Mumbai
2025-08-18,Spotify,Entertainment,2872.17,Debit Card,Chennai
2025-12-14,Internet Bill,Bills,2912.75,Credit Card,Mumbai
2025-11-06,Electricity Bill,Bills,2445.7,Credit Card,Pune
2025-11-05,Uber,Travel,2963.12,Debit Card,Bangalore
2025-04-09,Netflix,Entertainment,1475.2,Debit Card,Kolkata
2025-09-17,Movie Ticket,Entertainment,3397.55,Debit Card,Chennai
2025-08-08,Flipkart,Shopping,466.2,UPI,Delhi
2025-12-21,Spotify,Entertainment,2820.15,Credit Card,Chennai
2025-09-29,Metro,Travel,4696.21,Cash,Chennai
2026-03-02,Movie Ticket,Entertainment,574.71,Cash,Mumbai
2026-02-28,Electricity Bill,Bills,666.71,Cash,Bangalore
2025-05-18,Cafe,Food,3816.43,UPI,Chennai
2025-12-12,Electricity Bill,Bills,3467.58,Debit Card,Pune
2026-02-14,Amazon,Shopping,4560.62,Credit Card,Mumbai
2025-10-23,Internet Bill,Bills,3155.87,Credit Card,Hyderabad
2026-03-09,Restaurant,Food,893.35,Debit Card,Bangalore
2025-11-18,Netflix,Entertainment,4563.77,UPI,Pune
2025-05-11,Metro,Travel,1286.71,Cash,Chennai
2025-06-22,Internet Bill,Bills,4180.81,UPI,Hyderabad
2025-08-04,Mobile Recharge,Bills,3331.9,Debit Card,Chennai
2025-07-09,Flipkart,Shopping,2861.81,Cash,Hyderabad
