Date,Description,Category,Amount,Payment_Mode,Location
2025-07-29,Flipkart,Shopping,4239.76,UPI,Lake Susanfort
2025-05-11,Flight,Travel,2890.85,Credit Card,Lake Calvinland
2025-05-23,Ola,Travel,1315.54,Debit Card,Lopezfurt
2025-08-11,Flight,Travel,4807.81,Credit Card,Loritown
2025-12-15,Flipkart,Shopping,800.38,Debit Card,Perryberg
2025-07-31,Flipkart,Shopping,1155.75,Cash,Wilkinsside
2025-08-21,Ola,Travel,4474.89,Credit Card,New Catherineshire
2025-07-19,Swiggy,Food,1710.7,Cash,Johnsonstad
2025-09-14,Spotify,Entertainment,378.01,UPI,Conniechester
2025-06-04,Movie,Entertainment,2918.89,Credit Card,Kurtside
2025-06-16,Internet,Bills,1339.63,Debit Card,South Johnnyshire
2025-12-17,Movie,Entertainment,1390.87,Credit Card,Port Erika
2025-08-09,Restaurant,Food,582.79,Credit Card,Barnesport
2025-05-14,Mobile Recharge,Bills,909.16,Cash,Ethanton
2025-06-27,Netflix,Entertainment,401.34,Cash,Morganfort
2025-11-26,Uber,Travel,3303.0,Credit Card,East Lindsaybury
2025-09-17,Ola,Travel,583.49,Credit Card,New Cynthia
2025-07-31,Mall,Shopping,2286.37,UPI,Mcdonaldport
2025-05-14,Ola,Travel,870.46,Cash,South Patriciaport
2025-03-10,Electricity,Bills,1022.01,Cash,West Michaelborough
2025-12-01,Electricity,Bills,2364.64,Debit Card,North Stefanie
2025-12-16,Restaurant,Food,3569.71,UPI,West Kaylabury
2026-02-03,Mobile Recharge,Bills,3245.98,Credit Card,South Robert
2026-03-01,Metro,Travel,4393.05,Cash,Port Andrea
2025-10-16,Swiggy,Food,498.76,Credit Card,New Taylorberg
2025-06-07,Internet,Bills,1724.56,Debit Card,Portertown
2025-06-30,Spotify,Entertainment,2752.06,Cash,Coopertown
2025-11-19,Electricity,Bills,1856.51,Credit Card,Lake Jonathanland
2025-10-18,Restaurant,Food,2693.18,UPI,East Kimberlybury
2025-09-02,Netflix,Entertainment,2926.47,UPI,New Theresaburgh
2025-04-01,Ola,Travel,2320.61,Debit Card,Port Charles
2025-10-04,Flight,Travel,2457.21,UPI,Carrburgh
2025-12-31,Netflix,Entertainment,2380.03,UPI,Denisehaven
2026-03-04,Mobile Recharge,Bills,4086.8,Debit Card,Jimenezview
2025-10-06,Amazon,Shopping,4282.78,Credit Card,New Jamesshire
2026-02-06,Flipkart,Shopping,853.21,Debit Card,Autumnberg
2026-02-26,Amazon,Shopping,1203.88,Debit Card,New Carrie
2025-09-12,Flight,Travel,891.87,Debit Card,Scottport
2025-07-25,Flight,Travel,3938.6,UPI,New Karenhaven
2025-03-26,Mobile Recharge,Bills,4866.01,UPI,Port Stephaniefurt
2025-09-06,Movie,Entertainment,3263.51,Cash,Juliehaven
2025-12-09,Ola,Travel,714.85,Cash,Lake Jennifer
2025-09-04,Electricity,Bills,3443.81,Credit Card,Port Bonnieland
2025-05-06,Zomato,Food,3686.21,Debit Card,Steventon
2026-03-08,Zomato,Food,1652.87,UPI,Port Cole
2025-04-07,Mall,Shopping,2863.54,UPI,Raymondport
2026-01-20,Zomato,Food,3471.07,Credit Card,Katrinaton
2025-08-11,Mobile Recharge,Bills,3623.59,UPI,West Petertown
2025-10-22,Flipkart,Shopping,1573.77,Credit Card,Port Deborah
2025-12-26,Flight,Travel,769.74,UPI,Lake Patrickton
2026-02-12,Cafe,Food,4881.86,Cash,South Tony
2026-02-20,Metro,Travel,3688.41,Cash,Williamsland
2025-07-25,Metro,Travel,1742.62,Credit Card,North Jason
2025-08-20,Metro,Travel,4124.34,Cash,East Sean
2025-06-18,Mobile Recharge,Bills,1631.28,Cash,Susantown
2025-04-08,Uber,Travel,1057.09,Debit Card,Turnerbury
2025-12-02,Amazon,Shopping,4173.08,Credit Card,Annaland
2026-02-10,Mall,Shopping,4607.81,Cash,East Mary
2025-09-23,Netflix,Entertainment,2612.73,Credit Card,Riosmouth
2025-04-26,Flipkart,Shopping,1791.4,Credit Card,Andersonbury
2025-05-17,Electricity,Bills,2489.11,Cash,North Tinaville
2025-06-19,Electricity,Bills,2437.88,UPI,Parksborough
2026-02-06,Electricity,Bills,3824.31,Debit Card,Alexfort
2026-01-26,Metro,Travel,4517.22,Cash,South Johnview
2025-06-21,Metro,Travel,4890.29,Debit Card,Port Joshuaton
2025-10-15,Restaurant,Food,83.2,Cash,Phillipstown
2025-05-05,Movie,Entertainment,3150.33,UPI,West Jennifer
2025-09-23,Zomato,Food,3234.09,Cash,Costamouth
2025-07-02,Netflix,Entertainment,2582.93,UPI,Acostachester
2025-06-10,Uber,Travel,375.96,Credit Card,Mcneilshire
2025-12-22,Swiggy,Food,3162.98,UPI,Jasmineview
2025-04-27,Movie,Entertainment,559.37,Cash,West Christopher
2026-02-05,Flipkart,Shopping,3020.42,Credit Card,Port Lisamouth
2025-05-08,Ola,Travel,938.34,Cash,Antonioton
2026-01-07,Metro,Travel,615.72,Credit Card,Hartside
2025-04-20,Mall,Shopping,838.74,Credit Card,Johnsonside
2025-10-01,Ola,Travel,3686.99,UPI,Dawnton
2025-08-07,Restaurant,Food,2925.03,UPI,South Charles
2026-01-03,Zomato,Food,2257.39,UPI,Lanemouth
2025-07-21,Restaurant,Food,3476.97,Cash,Stewarttown
2025-12-16,Uber,Travel,2830.4,UPI,Emilyton
2025-09-01,Uber,Travel,1632.39,UPI,Jerryberg
2025-09-03,Restaurant,Food,3241.29,Credit Card,Matthewhaven
2025-07-11,Cafe,Food,733.9,Debit Card,Williamstown
2025-04-30,Cafe,Food,1607.57,Debit Card,Jameshaven
2026-03-02,Mall,Shopping,3584.19,Credit Card,New Teresa
2025-07-26,Spotify,Entertainment,3356.38,Cash,Younghaven
2025-12-15,Uber,Travel,1005.33,Debit Card,Sandrafurt
2026-01-05,Spotify,Entertainment,2504.82,UPI,South Nathanburgh
2025-05-22,Metro,Travel,1388.68,Credit Card,Simmonsside
2025-05-25,Uber,Travel,201.03,Credit Card,New Jeffreyview
2026-03-08,Cafe,Food,4226.32,UPI,Masonton
2025-08-16,Amazon,Shopping,3743.62,Cash,Thomasfurt
2025-10-24,Netflix,Entertainment,663.38,UPI,Osbornebury
2025-08-29,Flipkart,Shopping,4994.0,Debit Card,South Brian
2025-06-11,Cafe,Food,263.01,Cash,Lake Natashachester
2025-07-18,Amazon,Shopping,3730.27,Credit Card,Gatesside
2025-08-09,Spotify,Entertainment,801.42,Credit Card,Hallfurt
2025-08-08,Mobile Recharge,Bills,3694.65,Debit Card,Cookchester
2025-07-24,Netflix,Entertainment,808.78,Debit Card,West Thomasmouth
2025-07-08,Internet,Bills,1462.81,UPI,Lake Matthew
2025-07-08,Amazon,Shopping,1275.84,Cash,New Trevorport
2025-09-01,Amazon,Shopping,528.78,Credit Card,Port Dustinstad
2025-07-20,Mall,Shopping,3903.04,Debit Card,Hendersonton
2025-12-20,Metro,Travel,191.22,Cash,Wesleyville
2025-06-24,Metro,Travel,1271.33,Credit Card,Dayburgh
2026-01-04,Amazon,Shopping,2378.36,Debit Card,East Noah
2026-02-22,Ola,Travel,4389.65,Cash,Choiborough
2025-11-22,Swiggy,Food,106.39,UPI,West Jane
2025-11-13,Internet,Bills,1914.97,Debit Card,Lake Amyshire
2025-05-16,Restaurant,Food,4388.81,UPI,Carpenterhaven
2026-02-14,Spotify,Entertainment,3801.65,Debit Card,East Bobby
2026-02-13,Movie,Entertainment,993.4,Debit Card,New Joyview
2025-11-30,Amazon,Shopping,2382.22,UPI,South April
2025-09-27,Electricity,Bills,3765.52,UPI,Andersonberg
2025-11-26,Ola,Travel,457.56,UPI,New Samuel
2025-07-11,Electricity,Bills,2199.04,UPI,Lake Charlesland
2025-12-04,Electricity,Bills,1820.62,Credit Card,South Jamiemouth
2025-06-28,Cafe,Food,4857.7,UPI,East Darrenburgh
2025-09-05,Mobile Recharge,Bills,4230.37,Cash,Vanessaton
2025-11-05,Netflix,Entertainment,1458.72,UPI,New Micheal
2025-12-05,Movie,Entertainment,4446.49,Debit Card,South Susan
2025-05-09,Netflix,Entertainment,1831.61,Cash,Lake Richardtown
2025-09-29,Zomato,Food,1364.41,UPI,Natashaton
2026-02-23,Cafe,Food,4268.7,Debit Card,Deanland
2025-12-29,Mobile Recharge,Bills,879.51,Cash,Lake Paulstad
2025-10-07,Flipkart,Shopping,4368.23,Cash,South Clarencetown
2025-10-19,Internet,Bills,3224.64,Cash,Smithberg
2025-12-12,Swiggy,Food,3470.47,Credit Card,East Jessicaton
2025-03-14,Metro,Travel,3483.42,Credit Card,South Christinamouth
2025-06-16,Ola,Travel,4803.19,Debit Card,North Kim
2025-08-27,Netflix,Entertainment,1371.8,Debit Card,Shannonstad
2025-06-18,Netflix,Entertainment,3679.15,Cash,South Kimstad
2025-11-18,Swiggy,Food,4940.16,Debit Card,Justinmouth
2025-04-20,Cafe,Food,2460.4,Cash,West Robert
2026-01-26,Flight,Travel,3458.03,Cash,South Peter
2025-12-08,Cafe,Food,4482.67,Cash,Whitemouth
2026-02-10,Flight,Travel,1516.56,Cash,Christopherstad
2025-04-15,Flight,Travel,1793.22,Cash,West Brendabury
2025-09-01,Spotify,Entertainment,3237.49,UPI,Nicholeport
2025-11-09,Netflix,Entertainment,132.78,Credit Card,Markburgh
2025-07-02,Internet,Bills,4272.99,Credit Card,Riosborough
2026-02-12,Metro,Travel,1238.32,Credit Card,Port Garyfort
2026-03-04,Spotify,Entertainment,111.86,Debit Card,Hernandezbury
2026-03-06,Netflix,Entertainment,867.89,UPI,Port Troy
2026-02-27,Metro,Travel,4224.62,Debit Card,Bassborough
2025-05-15,Mall,Shopping,3818.18,Credit Card,Dominicview
2025-08-01,Amazon,Shopping,4512.74,UPI,New Michaeltown
2025-08-11,Movie,Entertainment,3035.52,Cash,South Joshua
2025-11-10,Uber,Travel,3458.44,Credit Card,Mauriceport
2025-12-08,Cafe,Food,2825.17,Credit Card,East Annette
2025-11-26,Zomato,Food,1929.16,UPI,Garnerstad
2025-09-28,Mall,Shopping,1810.57,Cash,Johnsonside
2025-10-06,Cafe,Food,2801.36,UPI,Annahaven
2025-09-03,Spotify,Entertainment,925.12,UPI,Evanborough
2026-01-01,Flight,Travel,2668.47,UPI,Lake Kathleen
2025-12-22,Mobile Recharge,Bills,2383.08,Credit Card,West Sarah
2026-02-01,Spotify,Entertainment,3831.82,Debit Card,Townsendburgh
2026-01-03,Metro,Travel,1845.29,Credit Card,East Williamfurt
2025-11-22,Swiggy,Food,3301.99,Debit Card,Cynthiachester
2025-10-18,Movie,Entertainment,4196.61,Cash,North Ashleymouth
2025-11-26,Metro,Travel,1484.88,Cash,New Rachelberg
2025-04-16,Zomato,Food,4347.41,Cash,New Jennifer
2025-03-19,Mall,Shopping,1469.2,Debit Card,Michelechester
2025-04-06,Flight,Travel,3695.83,Cash,New Pamelaville
2025-12-13,Cafe,Food,4654.0,Credit Card,North Krististad
2025-08-15,Amazon,Shopping,1009.71,Cash,Matthewmouth
2025-10-20,Swiggy,Food,4629.72,Cash,Dunnburgh
2025-08-13,Zomato,Food,4949.86,Credit Card,East Christopher
2025-09-28,Uber,Travel,3412.12,UPI,West Charlesmouth
2025-07-07,Electricity,Bills,2317.51,Credit Card,Lamton
2025-09-15,Flipkart,Shopping,100.57,Credit Card,Alvarezburgh
2026-02-19,Electricity,Bills,2959.53,UPI,Bridgesport
2025-04-19,Zomato,Food,3893.76,Cash,Gregorychester
2025-07-02,Movie,Entertainment,2877.06,Credit Card,North James
2025-12-10,Swiggy,Food,4955.62,Credit Card,North Laura
2025-07-12,Metro,Travel,745.66,UPI,West Matthewstad
2025-05-31,Restaurant,Food,2722.25,Credit Card,Williamsstad
2026-02-20,Mall,Shopping,496.27,Credit Card,Aliciaton
2026-02-06,Internet,Bills,1660.12,Debit Card,Thomasfurt
2025-04-11,Internet,Bills,886.64,UPI,Foxland
2026-02-20,Flight,Travel,554.58,Credit Card,Stephentown
2025-04-05,Flight,Travel,2603.71,UPI,South Shannontown
2026-02-03,Zomato,Food,3582.29,UPI,South Lindseyland
2025-06-21,Electricity,Bills,2819.04,Cash,Port Monicaland
2026-02-23,Netflix,Entertainment,1512.19,Debit Card,Port Jessicaview
2025-03-11,Flight,Travel,3605.21,Cash,North Kristen
2025-04-23,Mall,Shopping,1462.44,UPI,East Anthony
2026-01-10,Spotify,Entertainment,1525.08,UPI,Arnoldborough
2025-12-09,Internet,Bills,262.2,Cash,Matthewland
2026-02-11,Netflix,Entertainment,4468.04,Debit Card,Jessicastad
2025-03-30,Spotify,Entertainment,4749.68,Cash,Davidchester
2025-10-22,Mall,Shopping,1107.44,Cash,Courtneyview
2026-01-24,Uber,Travel,300.61,Cash,Kristyview
2025-10-31,Netflix,Entertainment,328.54,Debit Card,North Elizabethbury
2025-11-02,Internet,Bills,2565.75,Cash,Garyview
2025-09-14,Zomato,Food,4972.06,Cash,Goodmanchester
2026-03-03,Flipkart,Shopping,2344.63,Debit Card,Marissaburgh
2025-08-07,Swiggy,Food,739.78,Credit Card,Ambertown
2025-03-18,Netflix,Entertainment,1225.54,UPI,West Michealview
2025-07-17,Flight,Travel,1475.45,Debit Card,Baileyside
2025-10-28,Spotify,Entertainment,3082.3,UPI,New Krystalport
2025-08-09,Internet,Bills,420.13,UPI,Gamblehaven
2025-03-16,Electricity,Bills,1162.18,Cash,Rojasburgh
2025-04-22,Ola,Travel,1621.32,Credit Card,Edwardshire
2025-09-30,Spotify,Entertainment,1464.64,Credit Card,Nicoleburgh
2025-09-03,Spotify,Entertainment,724.15,UPI,Curryberg
2026-02-09,Flipkart,Shopping,544.1,Cash,Anthonyshire
2026-02-12,Flipkart,Shopping,1138.42,UPI,Hillbury
2025-04-29,Cafe,Food,2060.79,Credit Card,Valeriefort
2025-05-13,Spotify,Entertainment,4701.8,UPI,Williamstown
2025-08-01,Internet,Bills,4747.35,Credit Card,Richardsonburgh
2025-05-14,Flipkart,Shopping,777.89,Credit Card,North Danaville
2026-01-03,Spotify,Entertainment,4283.73,Cash,New Alexandra
2025-12-03,Internet,Bills,1191.37,Credit Card,Kennethmouth
2025-03-26,Swiggy,Food,2404.67,Debit Card,Pamelashire
2025-04-30,Netflix,Entertainment,1631.1,UPI,Taraport
2025-03-29,Mall,Shopping,303.36,Cash,East Johnside
2025-04-11,Flight,Travel,499.23,UPI,Moranmouth
2026-02-04,Metro,Travel,1696.62,Debit Card,Cainport
2026-01-15,Mall,Shopping,512.94,Credit Card,Fletcherton
2025-12-11,Internet,Bills,1946.23,Debit Card,Brownview
2025-10-18,Netflix,Entertainment,4208.24,Debit Card,East Heather
2025-10-09,Flipkart,Shopping,4284.03,UPI,West Brianville
2025-07-22,Swiggy,Food,2890.46,Cash,Port April
2025-07-30,Movie,Entertainment,3227.84,UPI,Lake Andrewville
2025-04-20,Electricity,Bills,2979.62,Debit Card,Lake Jefferyton
2025-07-27,Internet,Bills,2795.42,UPI,Lake Erinland
2025-09-11,Flipkart,Shopping,306.87,Cash,East Tanya
2025-06-05,Restaurant,Food,4019.09,UPI,Angelashire
2025-03-26,Amazon,Shopping,116.82,Credit Card,Suzannechester
2025-11-03,Cafe,Food,372.87,Credit Card,Sandersberg
2025-05-15,Mobile Recharge,Bills,3467.04,Credit Card,Lake Kevin
2025-04-10,Swiggy,Food,4681.18,Debit Card,South Christopherberg
2025-07-11,Mobile Recharge,Bills,2326.28,Credit Card,Annettemouth
2025-10-11,Movie,Entertainment,1712.69,Debit Card,Huynhmouth
2025-05-19,Flipkart,Shopping,4896.65,Credit Card,West Jacquelineburgh
2025-11-12,Metro,Travel,3934.8,Credit Card,Richardborough
2025-10-04,Mobile Recharge,Bills,3047.87,UPI,Christophertown
2025-11-05,Amazon,Shopping,1845.89,Cash,North Sarahchester
2025-09-10,Mall,Shopping,2097.77,UPI,North Matthew
2025-08-22,Electricity,Bills,942.89,Debit Card,Turnerberg
2025-03-09,Internet,Bills,2868.29,UPI,West Carlaberg
2025-12-28,Uber,Travel,639.54,Credit Card,Port Hailey
2025-03-08,Mall,Shopping,3004.83,UPI,Martinfort
2025-09-29,Internet,Bills,3531.74,UPI,North Heatherton
2025-06-15,Uber,Travel,2849.82,Credit Card,West Carrie
2025-06-19,Netflix,Entertainment,1789.37,Credit Card,Brownburgh
2025-12-18,Cafe,Food,83.03,Debit Card,Annetteland
2025-09-13,Swiggy,Food,2065.48,Credit Card,Mikechester
2025-06-14,Amazon,Shopping,1426.25,UPI,West Charlesmouth
2025-06-20,Internet,Bills,3495.46,Credit Card,New Richardmouth
2025-12-18,Movie,Entertainment,1036.12,Credit Card,Vangfort
2025-12-05,Netflix,Entertainment,875.93,Cash,Johnstonburgh
2025-08-21,Internet,Bills,2477.85,Debit Card,Rachelchester
2025-12-01,Swiggy,Food,4585.9,Cash,Larsonchester
2025-06-28,Mall,Shopping,3431.48,Debit Card,Parksmouth
2025-04-26,Internet,Bills,2068.94,Cash,East Kimberly
2025-11-19,Restaurant,Food,1375.11,Credit Card,New Daniel
2025-06-28,Spotify,Entertainment,4570.88,UPI,East Angela
2025-06-27,Mobile Recharge,Bills,822.36,Debit Card,Westhaven
2026-03-01,Ola,Travel,2014.43,Debit Card,Patrickport
2025-07-22,Amazon,Shopping,1175.49,UPI,Thomasland
2025-03-15,Movie,Entertainment,4128.69,Debit Card,South Craig
2025-05-30,Flight,Travel,896.08,UPI,Millerborough
2025-05-25,Internet,Bills,1206.48,Cash,East Andrew
2026-02-03,Mall,Shopping,168.69,UPI,Lake Randyville
2025-05-27,Uber,Travel,3698.46,Cash,Tuckerhaven
2025-07-04,Amazon,Shopping,3642.72,UPI,Rossbury
2026-01-27,Zomato,Food,4857.77,Debit Card,Kentside
2025-04-03,Flipkart,Shopping,4687.6,Credit Card,South Michael
2025-12-27,Mobile Recharge,Bills,2413.67,UPI,Jacobville
2025-10-07,Swiggy,Food,4913.67,Credit Card,Port Richardchester
2025-04-19,Swiggy,Food,2356.72,UPI,South Josephburgh
2025-08-17,Ola,Travel,4551.65,Cash,Wrightburgh
2026-03-01,Mall,Shopping,574.48,UPI,East Dakotaville
2025-11-29,Flipkart,Shopping,3095.99,Cash,Phelpston
2025-11-10,Uber,Travel,3020.99,Cash,Bradshawborough
2025-10-08,Amazon,Shopping,250.28,Debit Card,Lake Thomas
2025-06-25,Movie,Entertainment,4968.02,Credit Card,Lake Patrickfurt
2025-12-19,Movie,Entertainment,4277.09,UPI,Randyborough
2025-04-04,Restaurant,Food,61.12,Credit Card,Port Davidshire
2025-06-03,Ola,Travel,4844.41,UPI,New Susanstad
2025-10-16,Amazon,Shopping,4121.64,Debit Card,Mcconnellport
2025-05-26,Flipkart,Shopping,3402.82,Credit Card,East Roberttown
2025-08-25,Flight,Travel,222.45,UPI,Williamsville
2025-04-05,Mobile Recharge,Bills,3824.58,UPI,Lake Bobbyton
2025-07-17,Mall,Shopping,3385.16,Debit Card,Amberbury
2025-06-02,Mall,Shopping,137.28,UPI,Port Jason
2025-06-21,Amazon,Shopping,3369.43,Credit Card,Carsonport
2026-01-07,Mall,Shopping,124.96,Cash,South Brittanystad
2025-04-10,Ola,Travel,4089.49,Debit Card,North Alice
2025-04-27,Ola,Travel,1124.78,Credit Card,South Michaelborough
2025-04-08,Mobile Recharge,Bills,2359.52,Debit Card,South Jasonborough
2025-10-30,Internet,Bills,498.5,Credit Card,Clarkmouth
2025-08-11,Electricity,Bills,84.04,Cash,Vazquezbury
2026-03-06,Amazon,Shopping,2462.36,Credit Card,New Beth
2025-05-14,Mobile Recharge,Bills,1122.52,Debit Card,Alextown
2025-11-24,Movie,Entertainment,4923.66,Debit Card,Lisafort
2025-06-05,Flight,Travel,4641.6,Debit Card,Johnhaven
2025-09-26,Mall,Shopping,3878.88,Cash,Lake Mary
2025-09-16,Flight,Travel,4329.87,UPI,New Cindyton
2026-01-31,Netflix,Entertainment,1847.38,Credit Card,New Jameshaven
2025-10-21,Swiggy,Food,306.12,Debit Card,Mclaughlinborough
2025-04-11,Cafe,Food,935.9,UPI,South Tiffanymouth
2025-10-30,Cafe,Food,1431.81,Credit Card,North Judithborough
2025-11-07,Netflix,Entertainment,1274.99,UPI,Williamsonton
2025-11-01,Flipkart,Shopping,2975.63,Cash,East Bethfort
2025-11-10,Zomato,Food,925.31,Credit Card,Kevinmouth
2025-10-31,Mobile Recharge,Bills,4025.79,Cash,Lake Christopher
2025-12-04,Cafe,Food,1306.45,Credit Card,Lake Teresabury
2025-10-20,Movie,Entertainment,2697.11,Credit Card,Pinedaville
2025-10-12,Spotify,Entertainment,3687.14,Debit Card,Lake Elizabethburgh
2025-06-18,Flipkart,Shopping,3365.16,Cash,Lake Susanchester
2026-01-12,Netflix,Entertainment,4893.27,Cash,Markborough
2026-01-03,Mall,Shopping,2451.01,UPI,Port Brian
2025-09-29,Movie,Entertainment,2680.71,Cash,Kendrachester
2025-03-29,Electricity,Bills,1838.62,Cash,Kaufmanfort
2025-08-06,Ola,Travel,3486.07,Credit Card,Lauraside
2026-02-22,Cafe,Food,628.47,Credit Card,West Aaronfurt
2026-01-15,Spotify,Entertainment,615.62,Credit Card,New Jesus
2026-01-11,Spotify,Entertainment,489.59,Debit Card,Port Tyler
2025-11-13,Zomato,Food,3068.09,Credit Card,Collinsbury
2025-10-24,Netflix,Entertainment,1860.96,Cash,Rodneyfort
2026-01-13,Amazon,Shopping,3892.15,Debit Card,West Jennifer
2025-10-30,Amazon,Shopping,4673.85,Cash,Matthewport
2025-12-07,Flipkart,Shopping,4532.96,Debit Card,Cooperville
2025-10-18,Mall,Shopping,686.99,Debit Card,Timothybury
2026-01-10,Netflix,Entertainment,1420.08,UPI,Jonathantown
2025-12-03,Netflix,Entertainment,3791.28,Debit Card,Port Faithport
2025-06-08,Flight,Travel,991.42,Cash,Hernandezborough
2025-06-30,Cafe,Food,3546.12,UPI,Davidborough
2025-08-06,Swiggy,Food,3046.15,UPI,Schmidttown
2026-01-23,Internet,Bills,193.38,UPI,Rodriguezfurt
2025-11-04,Spotify,Entertainment,3002.86,Debit Card,Simsland
2026-02-05,Ola,Travel,2712.95,Credit Card,Burkehaven
2026-01-12,Movie,Entertainment,1830.04,UPI,Port Donnahaven
2026-01-09,Zomato,Food,2700.61,Debit Card,Victorton
2025-05-21,Movie,Entertainment,1617.18,Cash,East Deborah
2025-10-20,Ola,Travel,4637.1,Cash,Nashland
2025-10-01,Flipkart,Shopping,2031.13,Credit Card,West Timothy
2025-06-02,Mobile Recharge,Bills,1978.71,Cash,Benjaminchester
2025-10-21,Restaurant,Food,1620.51,Credit Card,North Brittanyton
2025-05-16,Spotify,Entertainment,1853.64,UPI,Port Christinaburgh
2026-01-29,Netflix,Entertainment,4966.68,Debit Card,East Jason
2025-09-17,Zomato,Food,1690.35,UPI,West Edward
2025-03-20,Spotify,Entertainment,721.38,UPI,New Shane
2025-06-27,Metro,Travel,3122.02,UPI,Michaelville
2025-03-27,Flipkart,Shopping,105.54,Cash,North Laurashire
2025-05-10,Amazon,Shopping,3833.03,Cash,North Mike
2025-10-29,Mall,Shopping,2361.38,Credit Card,New Nicholasville
2025-10-15,Metro,Travel,1069.02,Debit Card,Stewartfurt
2025-11-24,Netflix,Entertainment,4950.26,Credit Card,West Alyssaville
2025-06-28,Netflix,Entertainment,2670.71,Cash,Michelleview
2025-12-25,Mobile Recharge,Bills,2271.39,Cash,Sarafort
2025-12-08,Cafe,Food,2717.09,Debit Card,Nguyenmouth
2025-04-20,Swiggy,Food,4656.1,Cash,South Mirandatown
2025-12-29,Flight,Travel,4310.35,Cash,West Juanchester
2025-09-20,Mall,Shopping,354.74,UPI,Hollandfort
2026-02-10,Electricity,Bills,3238.72,UPI,Josephside
2025-06-27,Metro,Travel,127.84,UPI,Lake Amberberg
2025-03-24,Flight,Travel,2902.05,Debit Card,Wallaceberg
2025-10-08,Amazon,Shopping,4149.26,UPI,Lake Roy
2025-03-11,Netflix,Entertainment,2724.37,Credit Card,Hallmouth
2025-05-13,Uber,Travel,4899.06,Cash,West Donna
2026-01-26,Zomato,Food,4511.27,UPI,Amandaland
2025-06-06,Mobile Recharge,Bills,4360.61,UPI,Lake Richardfurt
